12/04/2017, 1, 3, 7, 9, 11, 19, 28519, 2.45E7, 82850.0
12/06/2017, 2, 7, 8, 36, 40, 42, 564810, 2.46E7, 24834.0
12/09/2017, 8, 25, 27, 30, 37, 43, 491652, 2.47E7, 37102.0
12/11/2017, 7, 13, 15, 24, 27, 33, 310429, 2.48E7, 28510.0
12/13/2017, 1, 2, 9, 11, 24, 39, 843460, 2.5E7, 42460.0
12/16/2017, 19, 20, 42, 45, 46, 47, 526508, 2.51E7, 30748.0
12/18/2017, 2, 7, 8, 15, 16, 33, 476448, 2.53E7, 22772.0
12/20/2017, 12, 23, 26, 32, 35, 45, 910733, 2.54E7, 25978.0
12/23/2017, 13, 27, 30, 32, 45, 49, 639542, 2.55E7, 29384.0
12/25/2017, 14, 15, 20, 21, 27, 41, 259074, 2.57E7, 16480.0
12/27/2017, 26, 27, 39, 40, 44, 46, 387570, 2.58E7, 17658.0
12/30/2017, 5, 9, 14, 26, 41, 43, 822274, 2.6E7, 38700.0
01/01/2018, 13, 16, 22, 28, 39, 45, 118639, 2.62E7, 17198.0
01/03/2018, 1, 3, 10, 31, 35, 44, 398757, 2.63E7, 28514.0
01/06/2018, 4, 8, 32, 33, 37, 48, 999577, 2.65E7, 33348.0
01/08/2018, 4, 10, 16, 28, 39, 48, 923453, 2.67E7, 29754.0
01/10/2018, 1, 8, 12, 31, 36, 40, 541900, 2.68E7, 2.683196E7
01/13/2018, 5, 12, 18, 24, 31, 48, 554527, 1000000.0, 35984.0
01/15/2018, 19, 35, 36, 40, 43, 48, 837241, 1100000.0, 12498.0
01/17/2018, 24, 29, 38, 40, 41, 48, 89484, 1200000.0, 13896.0
01/20/2018, 6, 15, 33, 34, 43, 47, 829955, 1300000.0, 21212.0
01/22/2018, 2, 6, 22, 25, 40, 42, 454493, 1400000.0, 15686.0
01/24/2018, 2, 3, 6, 13, 33, 38, 523177, 1500000.0, 22690.0
01/27/2018, 1, 8, 14, 15, 19, 34, 953921, 1600000.0, 33190.0
01/29/2018, 2, 7, 21, 30, 35, 39, 851529, 1700000.0, 16788.0
01/31/2018, 10, 21, 23, 24, 35, 38, 125310, 1800000.0, 13568.0
02/03/2018, 13, 14, 19, 20, 45, 46, 694162, 1900000.0, 25014.0
02/05/2018, 9, 11, 42, 45, 46, 48, 338056, 2000000.0, 12912.0
02/07/2018, 1, 10, 24, 33, 38, 49, 975884, 2100000.0, 16392.0
02/10/2018, 4, 23, 31, 37, 38, 49, 987669, 2200000.0, 25506.0
02/12/2018, 12, 15, 19, 20, 27, 48, 92521, 2300000.0, 12894.0
02/14/2018, 1, 6, 29, 33, 37, 41, 333414, 2400000.0, 15312.0
02/17/2018, 1, 17, 22, 37, 45, 48, 515854, 2500000.0, 22870.0
02/19/2018, 4, 9, 10, 16, 24, 33, 131525, 2600000.0, 22430.0
02/21/2018, 14, 18, 20, 27, 31, 39, 151681, 2700000.0, 14106.0
02/24/2018, 8, 16, 17, 19, 22, 31, 106820, 2800000.0, 28974.0
02/26/2018, 6, 17, 25, 32, 33, 37, 693380, 2900000.0, 12668.0
02/28/2018, 1, 12, 18, 23, 24, 34, 308040, 3000000.0, 20736.0
03/03/2018, 1, 8, 18, 27, 33, 49, 219374, 3100000.0, 29070.0
03/05/2018, 4, 16, 22, 24, 30, 38, 211705, 3200000.0, 21232.0
03/07/2018, 22, 25, 29, 35, 36, 46, 878103, 3300000.0, 20202.0
03/10/2018, 4, 5, 8, 9, 16, 39, 971756, 3400000.0, 37490.0
03/12/2018, 10, 21, 24, 36, 38, 43, 360690, 3500000.0, 12138.0
03/14/2018, 9, 12, 18, 22, 31, 38, 941914, 3600000.0, 20448.0
03/17/2018, 6, 25, 27, 35, 41, 47, 259205, 3700000.0, 21822.0
03/19/2018, 4, 13, 17, 23, 27, 34, 286466, 3800000.0, 17524.0
03/21/2018, 6, 16, 18, 37, 40, 45, 812919, 3900000.0, 15996.0
03/24/2018, 11, 12, 23, 33, 40, 49, 206843, 4000000.0, 23502.0
03/26/2018, 7, 13, 14, 24, 29, 31, 951174, 4100000.0, 22712.0
03/28/2018, 7, 12, 15, 23, 33, 47, 213151, 4200000.0, 18738.0
03/31/2018, 6, 17, 21, 30, 35, 38, 32409, 4300000.0, 27648.0
04/02/2018, 3, 5, 25, 28, 44, 49, 177063, 4400000.0, 16270.0
04/04/2018, 3, 17, 20, 30, 32, 46, 21996, 4500000.0, 22682.0
04/07/2018, 9, 10, 15, 34, 45, 49, 12971, 4600000.0, 24600.0
04/09/2018, 11, 19, 24, 29, 34, 48, 32849, 4700000.0, 16002.0
