12/04/2017, 1, 3, 7, 9, 11, 19, 28519, 2.45E7, 82850.0
12/06/2017, 2, 7, 8, 36, 40, 42, 564810, 2.46E7, 24834.0
12/09/2017, 8, 25, 27, 30, 37, 43, 491652, 2.47E7, 37102.0
12/11/2017, 7, 13, 15, 24, 27, 33, 310429, 2.48E7, 28510.0
12/13/2017, 1, 2, 9, 11, 24, 39, 843460, 2.5E7, 42460.0
12/16/2017, 19, 20, 42, 45, 46, 47, 526508, 2.51E7, 30748.0
12/18/2017, 2, 7, 8, 15, 16, 33, 476448, 2.53E7, 22772.0
12/20/2017, 12, 23, 26, 32, 35, 45, 910733, 2.54E7, 25978.0
12/23/2017, 13, 27, 30, 32, 45, 49, 639542, 2.55E7, 29384.0
12/25/2017, 14, 15, 20, 21, 27, 41, 259074, 2.57E7, 16480.0
12/27/2017, 26, 27, 39, 40, 44, 46, 387570, 2.58E7, 17658.0
12/30/2017, 5, 9, 14, 26, 41, 43, 822274, 2.6E7, 38700.0
01/01/2018, 13, 16, 22, 28, 39, 45, 118639, 2.62E7, 17198.0
01/03/2018, 1, 3, 10, 31, 35, 44, 398757, 2.63E7, 28514.0
01/06/2018, 4, 8, 32, 33, 37, 48, 999577, 2.65E7, 33348.0
01/08/2018, 4, 10, 16, 28, 39, 48, 923453, 2.67E7, 29754.0
01/10/2018, 1, 8, 12, 31, 36, 40, 541900, 2.68E7, 2.683196E7
01/13/2018, 5, 12, 18, 24, 31, 48, 554527, 1000000.0, 35984.0
01/15/2018, 19, 35, 36, 40, 43, 48, 837241, 1100000.0, 12498.0
01/17/2018, 24, 29, 38, 40, 41, 48, 89484, 1200000.0, 13896.0
01/20/2018, 6, 15, 33, 34, 43, 47, 829955, 1300000.0, 21212.0
01/22/2018, 2, 6, 22, 25, 40, 42, 454493, 1400000.0, 15686.0
01/24/2018, 2, 3, 6, 13, 33, 38, 523177, 1500000.0, 22690.0
01/27/2018, 1, 8, 14, 15, 19, 34, 953921, 1600000.0, 33190.0
01/29/2018, 2, 7, 21, 30, 35, 39, 851529, 1700000.0, 16788.0
01/31/2018, 10, 21, 23, 24, 35, 38, 125310, 1800000.0, 13568.0
02/03/2018, 13, 14, 19, 20, 45, 46, 694162, 1900000.0, 25014.0
02/05/2018, 9, 11, 42, 45, 46, 48, 338056, 2000000.0, 12912.0
02/07/2018, 1, 10, 24, 33, 38, 49, 975884, 2100000.0, 16392.0
02/10/2018, 4, 23, 31, 37, 38, 49, 987669, 2200000.0, 25506.0
02/12/2018, 12, 15, 19, 20, 27, 48, 92521, 2300000.0, 12894.0
02/14/2018, 1, 6, 29, 33, 37, 41, 333414, 2400000.0, 15312.0
02/17/2018, 1, 17, 22, 37, 45, 48, 515854, 2500000.0, 22870.0
02/19/2018, 4, 9, 10, 16, 24, 33, 131525, 2600000.0, 22430.0
02/21/2018, 14, 18, 20, 27, 31, 39, 151681, 2700000.0, 14106.0
02/24/2018, 8, 16, 17, 19, 22, 31, 106820, 2800000.0, 28974.0
02/26/2018, 6, 17, 25, 32, 33, 37, 693380, 2900000.0, 12668.0
02/28/2018, 1, 12, 18, 23, 24, 34, 308040, 3000000.0, 20736.0
03/03/2018, 1, 8, 18, 27, 33, 49, 219374, 3100000.0, 29070.0
03/05/2018, 4, 16, 22, 24, 30, 38, 211705, 3200000.0, 21232.0
03/07/2018, 22, 25, 29, 35, 36, 46, 878103, 3300000.0, 20202.0
03/10/2018, 4, 5, 8, 9, 16, 39, 971756, 3400000.0, 37490.0
03/12/2018, 10, 21, 24, 36, 38, 43, 360690, 3500000.0, 12138.0
03/14/2018, 9, 12, 18, 22, 31, 38, 941914, 3600000.0, 20448.0
03/17/2018, 6, 25, 27, 35, 41, 47, 259205, 3700000.0, 21822.0
03/19/2018, 4, 13, 17, 23, 27, 34, 286466, 3800000.0, 17524.0
03/21/2018, 6, 16, 18, 37, 40, 45, 812919, 3900000.0, 15996.0
03/24/2018, 11, 12, 23, 33, 40, 49, 206843, 4000000.0, 23502.0
03/26/2018, 7, 13, 14, 24, 29, 31, 951174, 4100000.0, 22712.0
03/28/2018, 7, 12, 15, 23, 33, 47, 213151, 4200000.0, 18738.0
03/31/2018, 6, 17, 21, 30, 35, 38, 32409, 4300000.0, 27648.0
04/02/2018, 3, 5, 25, 28, 44, 49, 177063, 4400000.0, 16270.0
04/04/2018, 3, 17, 20, 30, 32, 46, 21996, 4500000.0, 22682.0
04/07/2018, 9, 10, 15, 34, 45, 49, 12971, 4600000.0, 24600.0
04/09/2018, 11, 19, 24, 29, 34, 48, 32849, 4700000.0, 16002.0
09/05/2018, 7, 14, 17, 20, 28, 44, 633760, 3500000.0, 25278.0
09/08/2018, 3, 16, 19, 30, 34, 35, 261754, 3600000.0, 20736.0
09/10/2018, 17, 26, 29, 34, 35, 37, 998017, 3700000.0, 14528.0
09/12/2018, 3, 5, 17, 19, 22, 46, 997312, 3800000.0, 18732.0
09/15/2018, 11, 17, 18, 38, 48, 49, 521008, 3900000.0, 16956.0
09/17/2018, 3, 27, 32, 45, 48, 49, 555449, 4000000.0, 13118.0
09/19/2018, 4, 12, 25, 27, 29, 38, 104540, 4100000.0, 26914.0
09/22/2018, 1, 2, 14, 21, 35, 41, 820219, 4200000.0, 24460.0
09/24/2018, 11, 21, 22, 32, 34, 45, 140360, 4300000.0, 14144.0
09/26/2018, 3, 13, 15, 37, 38, 41, 442061, 4400000.0, 13984.0
09/29/2018, 2, 9, 16, 22, 24, 40, 591725, 4500000.0, 25012.0
10/01/2018, 9, 24, 25, 26, 39, 48, 605419, 4600000.0, 14010.0
10/03/2018, 3, 5, 11, 30, 31, 46, 881192, 4700000.0, 25680.0
10/06/2018, 6, 12, 15, 31, 42, 46, 967275, 4800000.0, 24380.0
10/08/2018, 6, 8, 18, 19, 44, 45, 848314, 4900000.0, 16520.0
10/10/2018, 8, 9, 18, 26, 43, 49, 177302, 5000000.0, 18060.0
10/13/2018, 2, 6, 7, 30, 31, 41, 137001, 5100000.0, 29964.0
10/15/2018, 1, 14, 20, 21, 43, 44, 949516, 5200000.0, 15444.0
10/17/2018, 13, 17, 20, 24, 25, 34, 189753, 5300000.0, 20606.0
10/20/2018, 10, 15, 16, 29, 36, 49, 688994, 5400000.0, 27936.0
10/22/2018, 12, 14, 19, 33, 35, 41, 592908, 5500000.0, 19272.0
10/24/2018, 11, 15, 17, 23, 36, 38, 539349, 5600000.0, 23938.0
10/27/2018, 2, 18, 22, 30, 38, 41, 871226, 5700000.0, 23668.0
10/29/2018, 1, 25, 33, 40, 43, 46, 769899, 5800000.0, 12760.0
10/31/2018, 10, 29, 42, 44, 48, 49, 887290, 5900000.0, 12864.0
11/03/2018, 18, 24, 26, 27, 35, 49, 392329, 6000000.0, 22786.0
11/05/2018, 13, 22, 30, 36, 45, 48, 217579, 6100000.0, 13798.0
11/07/2018, 2, 4, 30, 37, 39, 41, 754964, 6200000.0, 13770.0
11/10/2018, 16, 24, 30, 32, 39, 49, 672129, 6300000.0, 21450.0
11/12/2018, 4, 12, 14, 31, 32, 48, 947267, 6400000.0, 18818.0
11/14/2018, 12, 16, 22, 23, 37, 49, 245098, 6500000.0, 21770.0
11/17/2018, 3, 7, 22, 31, 44, 46, 75457, 6600000.0, 28832.0
11/19/2018, 14, 17, 22, 26, 36, 44, 411671, 6700000.0, 13030.0
11/21/2018, 1, 2, 9, 16, 20, 31, 632034, 6800000.0, 23164.0
11/24/2018, 6, 15, 20, 22, 37, 40, 953228, 6900000.0, 22534.0
11/26/2018, 3, 20, 28, 29, 38, 45, 629982, 7000000.0, 21310.0
11/28/2018, 23, 26, 28, 29, 42, 43, 744117, 7100000.0, 14142.0
12/01/2018, 3, 11, 17, 28, 31, 37, 944966, 7200000.0, 38010.0
12/03/2018, 7, 17, 27, 32, 35, 46, 156884, 7300000.0, 18730.0
12/05/2018, 5, 7, 22, 39, 43, 45, 169842, 7400000.0, 19766.0
12/08/2018, 11, 13, 15, 21, 33, 48, 306670, 7500000.0, 24800.0
12/10/2018, 17, 18, 21, 26, 32, 37, 949391, 7600000.0, 15846.0
12/12/2018, 3, 21, 31, 35, 37, 42, 526790, 7700000.0, 19416.0
12/15/2018, 8, 16, 23, 29, 40, 47, 633027, 7800000.0, 24672.0
12/17/2018, 7, 8, 13, 14, 23, 47, 17375, 7900000.0, 21824.0
12/19/2018, 12, 13, 16, 19, 25, 29, 347741, 8000000.0, 27004.0
12/22/2018, 2, 6, 24, 28, 45, 49, 341141, 8100000.0, 24504.0
12/24/2018, 4, 5, 6, 20, 35, 49, 85297, 8200000.0, 21062.0
12/26/2018, 6, 14, 26, 27, 33, 34, 782903, 8300000.0, 16770.0
12/29/2018, 16, 23, 27, 31, 40, 45, 879089, 8400000.0, 29142.0
12/31/2018, 12, 15, 19, 30, 34, 48, 777516, 8500000.0, 20222.0
01/02/2019, 15, 21, 24, 25, 30, 40, 146233, 8600000.0, 23826.0
01/05/2019, 7, 9, 13, 20, 37, 47, 310442, 8700000.0, 30950.0
01/07/2019, 1, 13, 16, 24, 41, 48, 698675, 8800000.0, 15860.0
01/09/2019, 16, 22, 30, 41, 47, 48, 758787, 8900000.0, 16838.0
01/12/2019, 3, 10, 12, 16, 24, 27, 843233, 9000000.0, 51890.0
01/14/2019, 1, 5, 13, 28, 44, 49, 665096, 9100000.0, 19180.0
01/16/2019, 3, 7, 12, 22, 34, 43, 379099, 9200000.0, 30890.0
01/19/2019, 5, 7, 10, 27, 28, 35, 292602, 9300000.0, 38734.0
01/21/2019, 1, 11, 13, 26, 34, 43, 233581, 9400000.0, 19586.0
01/23/2019, 3, 5, 13, 31, 43, 44, 897171, 9500000.0, 19730.0
01/26/2019, 4, 27, 30, 32, 36, 48, 442499, 9600000.0, 26846.0
01/28/2019, 19, 26, 29, 35, 41, 42, 703398, 9700000.0, 18926.0
01/30/2019, 5, 9, 11, 12, 35, 46, 588850, 9800000.0, 25026.0
02/02/2019, 6, 21, 31, 34, 38, 42, 346471, 9900000.0, 21746.0
02/04/2019, 3, 9, 19, 24, 32, 49, 684958, 1.0E7, 22662.0
02/06/2019, 9, 12, 20, 24, 44, 45, 906958, 1.01E7, 24358.0
02/09/2019, 3, 18, 24, 40, 43, 45, 591067, 1.02E7, 26252.0
02/11/2019, 10, 17, 32, 37, 40, 48, 59535, 1.03E7, 15950.0
02/13/2019, 8, 17, 18, 19, 27, 40, 16318, 1.04E7, 25784.0
02/16/2019, 2, 3, 28, 43, 47, 49, 633685, 1.05E7, 28218.0
02/18/2019, 4, 6, 16, 19, 27, 36, 819382, 1.06E7, 19924.0
02/20/2019, 19, 23, 26, 38, 42, 46, 957850, 1.07E7, 15166.0
02/23/2019, 6, 7, 8, 27, 41, 48, 147051, 1.08E7, 34586.0
02/25/2019, 5, 14, 26, 28, 31, 43, 972266, 1.09E7, 19684.0
02/27/2019, 2, 17, 20, 30, 31, 36, 975128, 1.1E7, 20670.0
03/02/2019, 27, 35, 38, 42, 46, 48, 999183, 1.11E7, 28588.0
03/04/2019, 19, 21, 23, 38, 40, 48, 741706, 1.12E7, 16110.0
03/06/2019, 21, 28, 39, 40, 43, 46, 692301, 1.13E7, 18080.0
03/09/2019, 17, 18, 26, 29, 47, 48, 602259, 1.14E7, 24688.0
03/11/2019, 2, 5, 30, 36, 38, 41, 202067, 1.15E7, 18224.0
03/13/2019, 4, 11, 15, 35, 36, 40, 304305, 1.16E7, 25630.0
03/16/2019, 5, 13, 40, 41, 44, 49, 103949, 1.17E7, 29976.0
03/18/2019, 2, 5, 28, 45, 46, 48, 354517, 1.18E7, 21562.0
03/20/2019, 8, 12, 19, 30, 39, 46, 672636, 1.19E7, 24342.0
03/23/2019, 4, 14, 18, 33, 41, 49, 784729, 1.2E7, 31022.0
03/25/2019, 9, 10, 33, 42, 44, 48, 113416, 1.21E7, 19830.0
03/27/2019, 2, 18, 29, 35, 36, 48, 69645, 1.22E7, 18840.0
